,PM10 (µg/m³),PM2.5 (µg/m³),As (ng/m³),Ni (ng/m³),Cd (ng/m³),Pb (ng/m³),C6H6 (µg/m³),B(a)p (ng/m³),Dades pendents de validació
19/06/2013,26,15,1,3.6,0.4,10,0.8,0,
20/06/2013,22,14,1,2.9,0.4,10,1.2,0.2,
21/06/2013,21,12,1,5,0.4,10,1,0,
22/06/2013,21,13,1,4.6,0.4,10,Sense dades,0,
23/06/2013,29,18,1,4.8,0.4,10,Sense dades,0,
24/06/2013,31,17,1,2.5,0.4,30,Sense dades,0,
25/06/2013,30,13,1,3.8,0.4,20,0.9,0,
26/06/2013,27,14,1,4.7,0.4,10,0.3,0,
27/06/2013,27,14,1,4.2,0.4,10,1.1,0,
28/06/2013,31,19,1,5.4,0.4,10,1.4,0,
29/06/2013,31,18,1,5.2,0.4,10,Sense dades,0,
30/06/2013,23,13,1,4.1,0.4,10,Sense dades,0,
01/07/2013,20,14,1,2.4,0.4,10,Sense dades,0,
02/07/2013,22,14,1,2.5,0.4,10,Sense dades,0,
03/07/2013,26,16,1,5,0.4,10,Sense dades,0,
04/07/2013,30,14,1,6.2,0.4,10,Sense dades,0.1,
05/07/2013,32,16,1,8.6,0.4,20,Sense dades,0,
06/07/2013,31,18,1,7,0.4,10,Sense dades,0,
07/07/2013,37,20,1,8.9,0.4,10,Sense dades,0,
08/07/2013,33,19,1,5.7,0.4,10,1,0,
09/07/2013,35,20,1,8.4,0.4,10,Sense dades,0,
10/07/2013,32,19,1,7.4,0.4,10,1.3,0,
11/07/2013,30,19,1,5.5,0.4,10,1.3,0,
12/07/2013,28,18,1,6.7,0.4,10,1.7,0,
13/07/2013,27,16,1,5.1,0.4,10,Sense dades,0,
14/07/2013,25,15,1,2.6,0.4,10,Sense dades,0,
15/07/2013,25,16,1,4.8,0.4,10,1.1,0,
16/07/2013,39,22,1,10.6,0.4,10,1.3,0,
17/07/2013,34,18,1,7.7,0.4,10,1.9,0,
18/07/2013,26,15,1,8.5,0.4,10,1.5,0,
19/07/2013,23,18,1,4.9,0.4,10,Sense dades,0,
20/07/2013,24,16,1,3.3,0.4,10,Sense dades,0,
21/07/2013,28,16,1,5.7,0.4,10,Sense dades,0,
22/07/2013,24,18,1,4,0.4,10,Sense dades,0,
23/07/2013,30,20,1,8.5,0.4,10,Sense dades,0,
24/07/2013,25,16,1,6.1,0.4,10,Sense dades,0,
25/07/2013,26,14,1,8.2,0.7,20,1.2,0,
26/07/2013,24,14,1,5,0.4,10,0.9,0,
27/07/2013,25,14,1,4.6,0.4,10,Sense dades,0,
28/07/2013,32,20,1,6.8,0.4,10,Sense dades,0,
29/07/2013,20,11,1,3.2,0.4,10,0.7,0,
30/07/2013,22,8,1,3.7,0.4,10,1,0,
31/07/2013,27,12,1,6.5,0.4,10,1.3,0,
01/08/2013,30,15,1,5.9,0.4,10,1.5,0,
02/08/2013,29,14,1,9.4,0.4,10,2.1,0,
03/08/2013,26,13,1,4.5,0.4,10,Sense dades,0,
04/08/2013,25,13,1,4.4,0.4,10,Sense dades,0,
05/08/2013,27,16,1,7,0.4,10,1.3,0,
06/08/2013,22,12,1,3.6,0.4,10,0.9,0,
07/08/2013,24,14,1,6.2,0.4,10,1,0,
08/08/2013,10,8,1,2,0.4,10,0.8,0,
09/08/2013,21,10,1,3.1,0.4,10,0.9,0,
10/08/2013,19,10,1,3.9,0.4,10,Sense dades,0,
11/08/2013,23,11,1,5.4,0.4,10,Sense dades,0,
12/08/2013,25,12,1,5.3,0.4,10,0.9,0,
13/08/2013,22,13,1,3.6,0.4,10,0.6,0,
14/08/2013,25,15,1,3.7,0.4,10,0.8,0,
15/08/2013,20,10,1,2.3,0.4,10,Sense dades,0,
